Gene,Control_baseline_blood1,Control_baseline_blood2,Control_baseline_blood3,Control_baseline_blood4,Control_baseline_blood5,Control_baseline_blood6,Control_baseline_blood7,Control_baseline_blood8,Control_baseline_blood9,Control_baseline_blood10,Control_final_blood1,Control_final_blood2,Control_final_blood3,Control_final_blood4,Control_final_blood5,Control_final_blood6,Control_final_blood7,Control_final_blood8,Control_final_blood9,Control_final_blood10
1110008L16Rik,14275,13035,12227,15004,12667,9950,13266,10224,12853,11464,10010,13412,11837,8809,10688,9470,10062,10233,9242,7770
1110008P14Rik,16172,17708,15339,12676,15438,15344,13805,14572,19034,17103,16778,14602,21137,19308,17219,22729,18817,17611,16504,19167
1110012D08Rik,4246,3074,2668,3708,3563,4435,4314,3995,3924,3143,2961,1947,2349,1327,4354,2623,3723,1785,4951,3419
1110012J17Rik,0,0,111,86,198,480,0,1763,98,0,0,0,0,241,198,0,0,833,0,104
1110012L19Rik,16985,15126,13227,14486,13459,12947,13805,10341,14913,15531,12407,17198,17661,12430,15833,18941,13987,13803,8912,14919
1110014N23Rik,26381,23611,29233,28542,28798,23496,25993,27851,31788,28382,25802,20984,21607,26187,19396,22438,29684,29272,40270,35743
1110017D15Rik,0,0,0,172,99,0,216,0,294,92,0,0,94,1086,0,0,0,119,0,414
1110017F19Rik,6324,5903,4335,6467,6037,4795,5177,3643,4513,5547,2397,2596,3006,4224,4354,2914,3522,4879,3301,2797
1110018G07Rik,146451,162446,164841,165127,184166,193722,184756,191430,154429,164280,312158,228660,229411,274297,247596,310484,189876,212638,167022,178407
1110018J18Rik,27194,26316,23009,26472,22068,24455,25130,24795,29237,29768,28199,28988,29592,25221,26323,30888,25860,26773,27067,26316
1110020A21Rik,1897,2459,1556,2414,1781,1319,2589,1880,2060,2866,2115,2704,3570,1931,2375,3060,2314,1666,1650,1761
1110020G09Rik,239147,304356,342243,261961,290548,432398,248822,373577,240768,257005,853710,579545,607817,704627,1146345,859914,426239,549860,484892,346557
1110021J02Rik,62791,57059,57467,65361,57199,58021,60722,56407,62203,65361,56256,69442,60030,53580,56407,59591,53230,60686,64366,53253
1110021L09Rik,90,246,222,86,792,719,108,235,196,740,282,4218,94,241,396,291,201,714,0,725
1110028C15Rik,178795,199215,177624,184615,149035,192883,166960,208117,166398,193216,268309,232770,222929,262832,286586,270708,175285,213709,139295,153645
1110031I02Rik,3343,2336,3557,4915,4255,3357,3559,4466,3728,3698,3948,3245,4227,4103,3167,2623,4427,4046,4291,5077
1110032A03Rik,25387,44762,30567,29145,36615,25174,35484,38310,28649,24314,91927,48566,55991,63234,47105,59445,39746,56878,31028,46415
1110032A04Rik,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,104
1110032F04Rik,7318,7378,9559,8019,7620,4076,7442,7638,7555,6841,6768,6382,5918,6758,5740,6702,7345,7972,9242,6423
1110034A24Rik,21412,21028,17673,20867,19693,28651,19198,16569,20015,18767,19598,27582,30062,19187,19000,23312,18515,16302,21125,19374
1110034B05Rik,13913,12420,9782,13883,8016,10789,13266,10811,12068,13775,13112,10384,15783,11947,13063,11947,11874,9757,10233,10982
1110034G24Rik,25929,32588,27233,26041,26917,26972,32357,41247,32671,35038,49911,53217,48381,48270,53438,70081,42966,44622,34989,31496
1110037F02Rik,140127,140311,137831,143656,139732,141695,146467,140077,132157,132478,109269,104379,114330,111143,107866,105194,109679,114946,109587,108267
1110038B12Rik,6324,7993,8114,8623,6333,8631,8844,7756,5004,9984,7755,9735,7422,6758,5146,11510,8150,8686,5611,10671
1110038D17Rik,163617,172407,157172,147968,189806,196119,159518,156999,155900,146068,248006,201078,193712,195857,210981,206164,179914,163137,175274,220470
1110038F14Rik,14726,12543,13116,12934,13162,13187,12295,15277,16385,15531,11138,14386,14467,13636,16427,14570,15999,12970,16834,12536
1110049F12Rik,61616,70955,68693,61481,73825,76122,66870,72976,62301,66932,118998,85450,99581,107522,131418,118453,88347,97692,77569,98735
1110051M20Rik,6957,5780,7781,8105,8115,5994,10138,9519,9517,5362,6627,5841,5918,9292,5344,6994,6540,6545,5941,7252
1110054O05Rik,45354,34309,41794,46563,39782,41837,44005,42070,42875,38736,41734,40345,36356,38254,46313,37445,45079,42361,45221,38955
1110057K04Rik,50684,52140,49464,49581,51657,52866,51878,48181,48762,53250,40888,49431,40584,43081,39584,49538,38639,46407,40270,49937
1110058L19Rik,10028,16847,10893,12072,8412,12587,12295,10929,12460,14792,15509,21417,16064,21118,18011,16318,12880,17611,10893,11914
1110059E24Rik,82215,81284,70805,84504,59475,60538,78950,62752,67599,87918,62037,90534,92347,93886,76001,83194,74461,78653,56774,58536
1110059G10Rik,24936,23119,19452,18970,16427,19660,22757,21975,23547,24868,24956,27366,31095,27755,25334,30305,21533,27844,17494,20928
1110059M19Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110065P20Rik,994,861,1556,259,2771,1918,1079,1880,1668,2034,987,1514,2536,1327,1583,1894,2012,2380,330,2279
1110067D22Rik,110042,173759,141166,110286,152795,121196,107208,161229,109690,95314,332883,148402,130676,216855,173970,179064,117226,154332,151178,202650
1190002H23Rik,11384,7378,8892,8450,6729,6713,7334,7521,8438,12665,14945,14278,13246,10740,7125,11365,8754,8686,9572,12640
1190002N15Rik,26381,23980,28233,20695,19198,25294,22973,28673,17856,20986,33979,30286,28183,28238,30479,30597,25458,35816,25086,22275
1190003J15Rik,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190003K10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190005F20Rik,53124,50910,43350,54151,43444,43156,51986,51589,53275,50846,55128,40670,44999,41633,46511,55074,45280,42837,49512,43928
1190005I06Rik,723,0,0,0,99,120,0,235,98,0,282,433,188,241,0,437,402,714,330,311
1190007F08Rik,4517,5903,4557,5432,6136,8871,4638,5758,4906,4437,10856,9627,10240,8689,7521,14570,6037,6545,4951,7149
1190007I07Rik,3795,3320,2557,5087,4651,3596,4422,3995,5396,3975,2820,4002,4603,3258,2177,4371,6239,2856,5281,3212
1200009I06Rik,542,0,333,690,198,599,108,0,392,185,1269,108,188,965,198,583,604,238,330,725
1200011I18Rik,71645,69725,66248,73811,62741,71807,68057,63223,63381,63419,59781,68793,60312,71682,56209,42398,50312,61281,55784,59987
1200011M11Rik,19876,22504,24565,26127,19495,19660,26101,19155,23841,25331,16073,21849,17661,18584,14844,20106,22741,17254,22446,19270
1200014J11Rik,46709,47344,46462,48891,46907,47591,48535,47593,46309,42526,38209,32882,40208,43323,44334,38464,49406,37720,43571,52113
1200016B10Rik,139133,148181,140721,141587,118060,162314,120366,171453,130686,136730,272821,242505,239839,239542,381191,302908,149325,204189,124771,119456
1300001I01Rik,35958,34063,37681,34319,37110,30209,36994,34079,37479,35962,33556,28015,28089,32583,30084,26517,38639,30700,42581,41235
1300002K09Rik,723,492,778,172,495,1439,1186,705,687,277,1410,1190,0,603,990,1603,906,714,990,311
1300010F03Rik,31441,30989,34680,32594,36220,33566,33543,32316,33653,27365,27353,26176,21513,30048,27511,25497,28879,30819,28057,32117
1300014I06Rik,62610,57920,54799,53375,55913,38840,59428,38780,54354,59167,55551,56029,65479,51529,40573,53471,55443,54736,61065,45482
1300017J02Rik,23580,26562,23565,30180,28303,52626,27611,32669,25509,31617,86428,57003,68767,80853,93418,88585,50211,49976,37629,40509
1300018I17Rik,23400,22504,24343,24747,26620,28531,20385,25030,33554,24868,21431,22390,22265,25583,34240,25206,27571,23322,34329,30460
1300018J18Rik,25026,23242,24232,24489,24146,24455,20816,22563,24822,24314,33838,25202,25553,28721,32854,28848,23747,26416,26737,30045
1500001M20Rik,9306,6763,6892,8882,7521,8871,7658,5523,7162,7766,6909,5192,6670,8447,7719,5391,9056,7258,7592,7252
1500002O20Rik,24574,22627,26899,21385,26818,19300,26209,21858,32181,25701,21290,23147,22077,22446,22761,27974,25659,21418,29047,26212
1500003O03Rik,144915,167980,180069,155728,178525,194321,184324,199774,161199,170844,314554,241098,229975,257161,306378,264298,221874,279630,223796,235596
1500004A13Rik,1807,1599,2223,2759,1781,3237,3236,1175,2158,2404,846,973,2912,1327,2375,2477,2817,2618,1980,1347
1500009L16Rik,90,123,667,431,495,360,0,940,294,277,423,216,564,483,396,437,604,119,330,725
1500010J02Rik,34061,33079,36236,29059,34240,28651,33651,27968,36890,33466,34966,39372,30156,36686,31271,38756,30589,39505,35979,30978
1500011B03Rik,40294,50541,41572,42683,51163,48191,54251,50178,49350,38089,76700,47592,51199,61424,45125,58425,53632,59139,40930,56361
1500011H22Rik,5601,7132,7336,4829,6828,6473,5501,9989,5396,5824,7191,5625,6764,7361,7521,8742,7849,9638,6602,7356
1500011K16Rik,7228,8854,5891,8278,6333,7912,7550,7168,7457,8320,6345,8545,7234,9292,7719,7868,7245,7139,7592,9842
1500012F01Rik,35777,41565,31234,31818,31667,30329,33759,34432,32181,40030,38068,44564,54112,41392,41365,42107,43670,41052,31028,39162
1500015A07Rik,12558,10699,11004,13020,10292,7552,10570,8461,11283,11186,8319,12872,7422,10016,9500,12239,8654,12375,9572,8081
1500015O10Rik,1355,738,778,604,1979,1918,1834,1528,1668,1294,423,541,1315,483,990,583,805,1309,1650,1347
1500017E21Rik,90,0,0,0,0,120,108,353,98,92,0,216,0,0,0,291,0,0,0,0
1500031L02Rik,12287,12666,13783,7761,11479,11628,11325,13867,15011,12850,12407,11574,11367,9775,16031,14424,11471,15350,12873,13261
1500032L24Rik,57822,77472,64803,61826,72241,92545,60291,66630,66422,64621,140006,98538,124570,116694,151210,144387,92070,88768,83841,90032
1520402A15Rik,1717,984,1112,1811,1089,719,1941,1175,981,1017,1974,108,2067,1207,990,1166,1006,1904,1320,1347
1600002H07Rik,24213,27792,27455,25006,28699,35244,24591,34902,28256,28659,59358,46727,45187,66975,64719,76346,36526,44027,27067,34500
1600002K03Rik,9215,9346,9003,5260,9500,8032,8952,6698,8438,12573,9024,9302,7703,10378,8906,10927,9861,9162,10893,8806
1600012F09Rik,15088,14265,14228,13883,10292,12827,15423,17980,11675,15254,12971,22390,13622,9413,13261,8305,11572,11780,11553,9117
1600012H06Rik,53485,57797,54910,49840,45324,41717,52525,51119,55532,55654,45400,51378,55521,49960,52844,51286,53330,42837,51493,45897
1600014C10Rik,53304,58043,55910,38630,57001,64015,48427,61460,57494,61108,47233,47160,46314,50684,71251,45749,56550,48549,71298,69622
1600014K23Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600015I10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600016N20Rik,3885,4673,4446,2328,4750,1678,4961,1058,4219,3513,2115,4110,2067,3138,2177,1748,3019,1904,4621,3833
1600021P15Rik,90,0,0,259,0,0,0,705,98,185,0,0,470,0,0,146,0,119,0,104
1600027N09Rik,23580,21520,23009,20781,18901,21578,24591,20565,26490,23297,21008,20768,23580,20998,16625,22875,21131,19753,18815,23000
1600029D21Rik,271,1476,445,1466,2276,719,324,6816,981,2866,423,649,188,483,2177,0,1006,238,660,518
1600029I14Rik,542,246,222,517,198,120,971,0,0,185,0,0,376,241,198,0,101,238,0,207
1600029O15Rik,361,615,222,431,594,599,108,823,0,555,282,324,282,241,0,437,402,119,990,0
1700001C02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001C19Rik,0,0,0,86,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,104
1700001F09Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001G17Rik,1355,861,556,1035,1089,1319,971,1058,1275,1572,987,541,1315,1207,1979,2477,1509,1071,1650,1036
1700001J03Rik,271,123,0,0,198,240,108,470,98,92,282,0,188,0,396,0,201,0,0,0
1700001J11Rik,2710,2582,2557,2673,2870,2757,3883,2350,2158,1941,705,3137,2724,2534,1385,1748,2516,1785,2311,1450
1700001K19Rik,1446,738,667,776,594,1319,1402,1058,1374,740,1269,649,282,845,198,583,604,357,990,622
1700001K23Rik,7499,7378,7670,8192,9995,7193,5285,4701,8830,6749,4935,2704,5167,3620,4552,4371,4931,6307,4951,4869
1700001L05Rik,10119,13281,12783,16987,14448,11388,15208,9636,8143,12296,23828,15468,20856,18705,26521,26080,17911,23441,7262,8288
1700001L19Rik,0,123,0,0,0,0,0,353,0,0,0,0,0,121,0,0,0,238,0,0
1700001O22Rik,0,123,111,259,198,120,108,118,98,555,282,757,0,0,0,291,402,0,330,104
1700001P01Rik,542,1230,778,259,990,480,755,470,1472,647,282,324,188,362,594,291,402,1071,0,104
1700003E16Rik,0,0,0,0,99,0,0,353,98,92,0,0,94,241,0,0,0,476,0,0
1700003F12Rik,452,246,0,86,396,480,431,353,687,370,564,216,470,362,396,1166,604,357,330,0
1700003G18Rik,90,0,0,172,99,360,0,0,0,0,141,216,0,0,0,146,0,0,0,0
1700003H04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003M02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,119,0,0
1700006A11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700006E09Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700007B14Rik,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0
1700007E06Rik,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0
1700007G11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0
1700007I08Rik,632,861,1223,690,990,719,1079,588,785,647,282,1514,564,845,792,1166,704,1785,660,932
1700007K09Rik,271,0,111,0,0,0,0,0,196,0,0,0,470,0,0,0,0,476,0,0
1700007K13Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0
1700008A04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700008F21Rik,0,0,0,0,0,0,0,0,491,0,0,649,282,0,198,0,101,0,0,0
1700008I05Rik,0,0,0,0,0,0,0,0,196,0,0,0,0,241,0,0,0,0,0,104
1700008J07Rik,6505,6763,7336,8623,5839,5394,6040,5288,7358,5732,5640,5625,4415,5551,6135,6411,8150,7377,8582,7045
1700008O03Rik,0,246,111,259,99,240,108,0,687,0,282,108,188,0,0,437,0,714,660,414
1700008P02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700008P20Rik,90,246,0,0,99,0,0,0,0,0,423,0,564,0,396,146,0,238,0,104
1700009J07Rik,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700009N14Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700009P17Rik,542,1968,1223,2673,1979,1798,755,1645,589,1479,2820,4976,2724,2534,4948,3642,1509,2856,330,2072
1700010B08Rik,181,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,119,0,0
1700010D01Rik,0,0,0,172,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0
1700010I14Rik,4517,5534,3223,3880,3365,4076,3775,4466,3434,3421,2538,3569,4697,2172,4948,4808,4025,2380,3961,3626
1700010M22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700011A15Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700011E24Rik,181,861,1445,517,1682,839,1079,705,196,462,987,865,564,965,2177,874,1308,476,990,104
1700011F03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700011F14Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700011H14Rik,0,0,111,86,0,0,0,0,98,185,141,324,0,0,396,0,302,0,0,311
1700011I03Rik,903,369,778,604,594,480,0,705,589,740,0,1622,282,241,396,583,604,476,660,414
1700011L22Rik,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,101,0,0,518
1700012A03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700012A16Rik,723,1476,889,1983,693,1079,324,705,687,1109,423,1839,1691,724,0,291,1409,119,1650,311
1700012B07Rik,0,0,0,0,0,240,108,235,98,370,282,0,282,0,0,0,0,0,0,0
1700012B09Rik,0,123,0,86,0,360,0,118,98,92,0,216,0,121,0,291,101,357,0,0
1700012B15Rik,11022,11559,10893,11555,12073,16423,10570,14924,13932,13220,10292,14061,13246,11102,9698,12239,11471,15350,13203,12018
1700012D14Rik,3975,3689,4780,2673,5245,4076,2481,2233,4415,4715,3525,3137,5355,3620,4354,2623,3220,3927,2971,1450
1700012L04Rik,181,0,222,0,0,0,324,118,196,370,423,0,94,0,0,874,101,0,0,0
1700012P22Rik,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0
1700013B16Rik,0,0,0,0,0,120,216,0,0,0,0,0,0,603,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700013F07Rik,90,0,0,0,198,0,0,118,0,0,0,757,0,241,0,0,0,0,0,0
1700013G24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0,0,0,0,216,0,362,0,0,0,357,0,0
1700013N18Rik,1807,1476,1890,1638,1880,1678,1510,3408,1766,2219,2820,1622,939,845,2573,1894,1207,1785,330,932
1700014N06Rik,0,123,0,0,99,0,0,0,0,0,0,0,282,121,0,0,0,0,0,0
1700015E13Rik,90,123,333,86,99,0,324,235,294,740,141,0,0,0,396,437,402,0,330,311
1700015G11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700016C15Rik,90,369,333,86,297,360,216,705,392,462,141,0,94,362,0,0,101,238,0,0
1700016D06Rik,723,984,445,345,297,719,324,235,98,462,141,0,939,0,396,583,201,357,330,0
1700016H13Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700016K19Rik,271,861,889,345,792,480,324,588,98,92,423,108,188,241,0,291,0,238,660,622
1700016M24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700017B05Rik,25478,26070,31901,31042,32459,29010,27503,24443,35124,26902,23405,23796,22453,24377,28698,24040,30187,25583,33338,38230
1700017D01Rik,90,0,0,0,0,0,0,0,0,92,0,0,0,0,198,146,101,0,0,0
1700017N19Rik,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700018A04Rik,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0
1700018A14Rik,181,0,111,86,0,240,0,235,0,185,0,1082,0,0,0,0,201,119,0,104
1700018B08Rik,0,369,0,0,0,0,0,0,0,0,0,0,376,121,0,0,0,0,0,0
1700018B24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700018C11Rik,0,0,111,0,198,0,216,0,0,0,0,0,0,0,396,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700018L02Rik,271,369,333,690,0,120,108,0,196,185,282,108,94,241,0,146,604,476,0,104
1700018L24Rik,90,369,333,172,198,599,324,0,294,462,0,0,470,121,198,0,0,357,0,104
1700019A02Rik,903,492,778,604,891,599,1079,353,1079,832,846,433,1033,1327,1188,583,201,833,330,207
1700019B03Rik,181,0,222,0,0,0,0,118,0,0,0,324,0,241,0,0,0,119,0,104
1700019D03Rik,181,123,222,517,297,120,431,588,392,462,423,0,282,241,396,146,0,119,330,104
1700019E19Rik,0,123,222,0,99,0,431,940,0,185,282,108,94,241,0,146,0,357,0,414
1700019G17Rik,1355,1968,778,1380,594,1678,1294,1293,1570,2126,1128,1190,752,1810,0,583,1006,1190,1980,932
1700019L03Rik,271,246,1000,690,99,240,647,823,687,277,423,216,376,1569,198,291,302,476,330,311
1700019M22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700019N12Rik,452,0,445,431,198,360,431,470,196,462,423,0,282,0,0,291,101,0,0,104
1700019N19Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700019O17Rik,0,0,0,0,0,0,0,353,98,0,0,0,0,0,0,0,0,0,0,0
1700020A23Rik,361,246,222,0,198,0,0,353,0,277,0,108,0,0,198,0,0,238,0,414
1700020C07Rik,1355,984,1000,862,792,719,1726,353,1079,1664,423,433,1221,1448,594,1457,704,476,1980,1554
1700020D05Rik,2530,2705,2334,1983,2375,1798,1941,1998,2060,1387,1128,541,1503,965,1188,3060,2214,1547,1650,932
1700020I14Rik,449654,629739,554547,549705,527460,703561,579506,728822,533633,632806,1543728,1230045,1309202,1460300,1739309,1833910,856302,1042247,570053,622351
1700020L24Rik,1626,738,1112,1035,1089,1199,1079,470,883,1757,705,324,564,724,1188,291,1006,1904,1650,1761
1700020N01Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700020N18Rik,271,492,333,0,297,120,216,235,491,92,282,0,470,603,198,0,402,119,660,104
1700020O03Rik,79053,85711,81920,84590,86986,94344,89735,82612,90558,94667,90517,88587,75531,104988,91438,108546,89152,82699,74929,83505
1700021C14Rik,3252,2459,1556,3966,2078,3237,2696,1998,1962,3143,3243,2488,2630,1327,2573,2768,4025,1904,660,1658
1700021F05Rik,4156,3566,4224,4225,3365,5994,4314,3643,3238,4345,5640,3569,6388,5310,2771,6556,3622,4879,6602,4041
1700021F07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
